,title,beds,bath,adress,price,area
0,Eminent Apartment Of 2200 Sq Ft Is Vacant For Rent In Bashundhara R-A.,3.0,4.0,"bashundharar-a,dhaka",50000.0,2200
1,"Apartment Ready To Rent In South Khulshi, Nearby South Khulshi Police Station",3.0,4.0,"southkhulshi,khulshi,chattogram",30000.0,1400
2,"Smartly priced 1950 SQ FT apartment, that you should check in Bashundhara R-A",3.0,4.0,"bashundharar-a,dhaka",30000.0,1950
3,"2000 Sq Ft Residential Apartment Is Up For Rental Purpose In Sector 9, Uttara",3.0,3.0,"uttara,dhaka",35000.0,2000
4,"Strongly Structured This 1650 Sq. ft Apartment Is Now Vacant For Rent In Block I , Bashundhara R-A",3.0,4.0,"bashundharar-a,dhaka",25000.0,1650
5,"A nice residential flat of 3400 SQ FT, for rent, can be found in Gulshan Avenue",5.0,5.0,"gulshan,gulshan,dhaka",110000.00000000001,3400
6,1600 Square Feet Apartment With Amazing Rooms Is For Rent In Uttara-6,3.0,3.0,"uttara,dhaka",35000.0,1600
7,Let Us Help You To Rent This 1250 Sq Ft Apartment Which Is Now Available In Bashundhara R-A,3.0,3.0,"bashundharar-a,dhaka",23000.0,1250
8,"An Extensive Apartment Of 2150 Sq Ft Is Vacant For Rent In Ranavola Avenue, Uttara",3.0,4.0,"uttara,dhaka",40000.0,2150
9,A well-constructed 1250 SQ FT apartment is ready to Rent in Bashundhara R-A,3.0,3.0,"bashundharar-a,dhaka",23000.0,1250
10,Don’t Waste Your Valuable Time! You Can Take This 1250 Sq Ft Apartment For Rent In Bashundhara R-A,3.0,3.0,"bashundharar-a,dhaka",23000.0,1250
11,"In The Nice Location Of Bayazid, An Apartments Of 1580 Sq Ft Is Available For Rent",3.0,3.0,"bayazid,chattogram",20000.0,1580
12,Beautiful 3200 Sq Ft Apartment For Rent At Gulshan 1,4.0,4.0,"gulshan,gulshan,dhaka",250000.0,3200
13,A well-defined residential apartment of 3000 SQ FT is available for rent in Gulshan,3.0,3.0,"gulshan,gulshan,dhaka",120000.0,3000
14,Property for rent in Bashundhara R-A– 1250 SQ FT apartment,3.0,3.0,"bashundharar-a,dhaka",21000.0,1250
15,"In The Most Prime Location Of Uttara, An Apartment Of 1800 Sq Ft Is Available For Rent",3.0,4.0,"uttara,dhaka",60000.0,1800
16,This flat in Bashundhara R-A is up for rent with an area of 1250 sq. ft,3.0,3.0,"bashundharar-a,dhaka",21000.0,1250
17,A Fine Flat Is Now For Rent Which Is In Bashundhara R-A Near Ebenzer International School,3.0,3.0,"bashundharar-a,dhaka",40000.0,2000
18,"An Apartment Is Ready For Rent At Bashundhara R-A, Near Independent University",3.0,4.0,"bashundharar-a,dhaka",30000.0,1750
19,Use Your Time Perfectly To Take This 1250 Sq Ft Flat For Rent In Bashundhara R-A,3.0,3.0,"bashundharar-a,dhaka",23000.0,1250
20,Worthy 1250 SQ FT Nice home is ready to Rent at Bashundhara R-A,3.0,3.0,"bashundharar-a,dhaka",23000.0,1250
21,Brand New Flat Covering An Area Of 1310 Sq Ft Is Ready For Rent In Khilgaon,3.0,3.0,"ward,chowdhuripara,khilgaon,dhaka",28000.0,1310
22,Tastefully Designed This 1250 Sq Ft Apartment Is Now Vacant For Rent In Bashundhara R-a,3.0,3.0,"bashundharar-a,dhaka",21000.0,1250
23,2200 sq. ft Flat For rent In Uttara Near NRB Commercial Bank,3.0,4.0,"uttara,dhaka",60000.0,2200
24,Wonderful Flat Covering An Area Of 1700 Sq Ft Is Available For Rent In Banani,3.0,4.0,"banani,dhaka",75000.0,1700
25,"In this serene neighborhood of Dhanmondi, a flat is up for rent which is 2750 SQ FT",4.0,4.0,"dhanmondi,dhaka",120000.0,2750
26,We Have A Ready Flat For Rent In Dhanmondi Nearby Dhanmondi Ideal College.,3.0,2.0,"dhanmondi,dhaka",28000.0,1400
27,In Baridhara 2500 Sq Ft Flat Is Available For Rent Which Is Now Close To Baridhara Jame Masjid,4.0,4.0,"baridhara,dhaka",55000.0,2500
28,"An Apartment Is Up For Rent In West Shewrapara, Near East West International School",1.0,1.0,"westshewrapara,mirpur,dhaka",12000.0,550
29,Affordable Flat Is Up For Rent In Rampura Nearby Hatir Jheel Lake,3.0,2.0,"mohanagarhousing,westrampura,rampura,dhaka",21000.0,1050
30,1350 Sq Ft Flat For Rent In Khulshi Close To Khulshi Jame Masjid,2.0,4.0,"zakirhossainhousingsociety,southkhulshi,khulshi,chattogram",30000.0,1350
31,Affordable and beautiful flat is up for rent in Bashundhara R-A which is 1250 SQ FT,3.0,3.0,"bashundharar-a,dhaka",23000.0,1250
32,3590 Sq Ft Apartment Is Ready For Rent In Banani,4.0,5.0,"bananidohs,dhaka",200000.0,3590
33,Property in Bashundhara R-A– 1250 SQ FT Flat for rent,3.0,3.0,"bashundharar-a,dhaka",21000.0,1250
34,2200 Sq Ft Flat For Rent In Khulshi Near Khulshi Jame Masjid,4.0,5.0,"zakirhossainhousingsociety,southkhulshi,khulshi,chattogram",110000.00000000001,2200
35,"In Bashundhara R-A, 1250 Square Feet Residential Apartment Is Up For Rent",3.0,3.0,"bashundharar-a,dhaka",20000.0,1250
36,For Rental Purpose This Nice Flat Is Now Available In Khilkhet Near Haji Bari Mosjid.,1.0,1.0,"khilkhet,dhaka",10000.0,400
37,"Check This Fine Looking Residence Of 1250 Sq Ft Offered For Rent At Dhaka Uddan, Mohammadpur",3.0,3.0,"dhakauddan,mohammadpur,dhaka",18000.0,1250
38,Visit This Apartment For Rent Of 2400 Sq Ft In Gulshan,3.0,3.0,"gulshan,gulshan,dhaka",150000.0,2400
39,A Small 500 Sq Ft 1-bedroom Apartment For Rent In Mohammadi Housing Ltd.,1.0,1.0,"mohammadihousingltd.,mohammadpur,dhaka",10000.0,500
40,In The Location Of Banani An Excellent Flat Of 1650 Sq Ft Is Waiting For Rent,3.0,3.0,"banani,dhaka",85000.0,1650
41,"Grab This 1700 Sq Ft Apartment For Rent In Mirpur, Section-2",4.0,3.0,"section,mirpur,dhaka",30000.0,1700
42,In The Fine Location Of Chatogram A 1600 Sq Ft Furnished Apartment Is All Set For Rent Near To Ab Bank Limited,3.0,3.0,"southkhulshi,khulshi,chattogram",70000.0,1600
43,Affordable And Beautiful Flat Is Up For Rent In West Rampura Which Is 2300 Sq Ft,4.0,4.0,"mohanagarhousing,westrampura,rampura,dhaka",43000.0,2300
44,Let Us Help You To Rent This 1250 Sq Ft Apartment Which Is Now Available In Bashundhara R-A,3.0,3.0,"bashundharar-a,dhaka",21000.0,1250
45,"Impressively Done, Large 4350 Sq Ft Rental Residential Duplex Is In The Center Of Uttara, Sector 13",5.0,6.0,"uttara,dhaka",110000.00000000001,4350
46,"Comfortable and well designed flat of 3200 SQ FT in Bashundhara R/A Block C for rent, near Mridha Bari Jame Mosjid",4.0,5.0,"bashundharar-a,dhaka",100000.0,3200
47,"Luxurious And Furnished Apartment At Khulshi, For Rent Close To Khulshi Jame Masjid",4.0,5.0,"khulshihillr/a,northkhulshi,khulshi,chattogram",80000.0,2000
48,"Nice Flat Can Be Found In Kalabagan For Rent, Near Bashir Uddin Jame Mosque.",3.0,4.0,"kalabagan,dhaka",45000.0,2000
49,A Decent 1200 Sq Ft Flat Is Now To Rent In Mohammadpur,3.0,3.0,"mohammadiahousingsociety,mohammadpur,dhaka",25000.0,1200
